ageb,P6A14NAE,SBASC,PSDSS,OVSDE,OVSEE,OVSAE,OVPT,OVSREF,OVSINT,OVSCEL,OVHAC
1477,4.34782608695652,34.1614906832298,29.2792792792793,0.917431192660551,0.917431192660551,0.0,12.8440366972477,6.88073394495413,61.0091743119266,6.42201834862385,29.8165137614679
1481,2.27272727272727,3.8961038961039,20.7986688851913,0.0,0.0,0.0,0.166389351081531,0.0,2.1630615640599,0.998336106489185,3.82695507487521
1496,16.6666666666667,0.0,16.0714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7142857142857
1513,3.7037037037037,8.96057347670251,15.2974504249292,0.0,0.143061516452074,0.143061516452074,0.286123032904149,1.85979971387697,12.3032904148784,1.00143061516452,5.86552217453505
1528,1.58730158730159,17.541111981206,14.4918444165621,0.0,0.0,0.0,0.0627352572145546,0.564617314930991,21.2045169385195,7.04845814977974,3.13676286072773
1532,1.0,3.6231884057971,10.4761904761905,0.0,0.0,0.0,0.0,0.2710027100271,9.07859078590786,1.0840108401084,5.28455284552846
1551,0.0,13.9344262295082,23.3502538071066,0.0,0.0,0.0,0.0,4.06091370558376,36.0406091370558,1.52284263959391,43.1472081218274
1566,6.66666666666667,54.9295774647887,23.7373737373737,0.0,23.5,34.5,53.0927835051546,38.5,87.0,13.0,39.5
1570,4.16666666666667,10.3448275862069,16.304347826087,0.0,0.0,0.0,0.0,0.0,1.08695652173913,0.0,11.9565217391304
1585,0.0,2.88461538461538,23.7931034482759,0.0,0.0,0.0,0.0,0.344827586206897,4.13793103448276,2.06896551724138,13.1034482758621
159A,4.44444444444444,11.0169491525424,18.1628392484342,0.0,0.0,0.0,0.0,2.57480862908838,20.4592901878914,0.974251913709116,12.2477383437717
1602,5.33980582524272,21.3044241834326,19.0119760479042,0.149812734082397,0.52434456928839,5.46816479400749,1.64794007490637,5.39325842696629,28.2397003745318,1.87265917602996,25.0936329588015
1617,0.888888888888889,22.5352112676056,16.1098737936154,0.519673348181143,1.48478099480327,1.48478099480327,2.74684484038604,6.23608017817372,29.101707498144,3.0438010393467,22.0489977728285
1621,2.94117647058824,19.9833472106578,14.3502824858757,0.0,0.169491525423729,0.0,0.0,3.38983050847458,26.4971751412429,1.86440677966102,15.1412429378531
1636,8.38323353293413,16.8437025796662,15.9958720330237,0.0,0.0,0.0,0.0,2.37358101135191,32.1981424148607,1.75438596491228,17.5438596491228
1640,0.0,4.7244094488189,17.2839506172839,0.0,0.0,0.0,0.0,0.309597523219814,2.78637770897833,0.619195046439629,2.78637770897833
1655,2.53164556962025,2.5390625,15.015015015015,0.0,0.0,0.0,0.0,0.0,2.4024024024024,1.2012012012012,4.2042042042042
1674,2.69360269360269,11.3547376664056,12.059765208111,0.0,0.053475935828877,0.0,0.0,3.58288770053476,31.0695187165775,1.12299465240642,51.283422459893
1689,0.0,16.8724279835391,18.4491978609626,0.0,0.802139037433155,0.0,1.33689839572193,4.27807486631016,48.3870967741936,3.74331550802139,64.7058823529412
1706,0.0,1.70940170940171,9.8159509202454,0.0,0.0,0.0,0.0,0.0,4.9079754601227,0.0,3.68098159509202
1710,1.98019801980198,17.4291938997821,20.9653092006033,0.0,0.0,0.0,0.0,7.42424242424242,22.8787878787879,0.757575757575758,9.6969696969697
